outlier_bucket,focus_classification,count,mean_outlier_score,median_outlier_score,stddev_outlier_score,avg_recent_grad_rate
L1,Balanced,33,0.5965909090909091,0.625,0.21985202208795268,45.707070707070706
L1,Diverse,89,0.7425932599015878,0.8333333333333333,0.17955771128915082,30.682219300857763
L1,Focused,11,0.6186868686868686,0.625,0.0954932848544901,49.24242424242424
L1,Specialist,10,0.6875,0.625,0.16433554953054497,50.0
L1,Universalist,360,0.5179336946774931,0.5,0.23895008723448863,6.244618757168721
L2,Balanced,32,1.3805803571428572,1.25,0.330301999590872,7.578125
L2,Diverse,84,1.571865551776266,1.6666666666666665,0.4981077315186776,14.46050642479214
L2,Focused,7,1.5357142857142858,1.6666666666666665,0.2920915272948881,0.0
L2,Specialist,11,1.5340909090909092,1.25,0.5126247076654528,7.575757575757575
L2,Universalist,337,1.7629683159118714,1.6666666666666667,0.5493684246744477,4.253049678191222
L3,Diverse,6,4.1309523809523805,3.7499999999999996,1.3857674674789067,35.55555555555555
L3,Specialist,1,7.083333333333332,7.083333333333332,,0.0
L3,Universalist,496,5.138589583870549,4.999999999999999,1.4522529334528584,1.7245716869159542
L4,Balanced,50,10.9,10.625,0.5230649469956005,0.0
L4,Diverse,72,10.892030423280424,10.625,0.728346614898893,3.3564814814814814
L4,Focused,22,10.795454545454545,10.625,0.4390626083213806,0.0
L4,Specialist,18,11.145833333333334,10.625,0.6863292170071502,2.7777777777777777
L4,Universalist,304,10.231560854104133,10.319865319865318,1.4256509151913463,1.517628450018724
L5,Balanced,32,15.646112351190474,14.166666666666664,2.942351536909841,0.78125
L5,Diverse,120,16.913690476190474,14.166666666666664,6.823500398917697,0.36507936507936506
L5,Focused,4,24.03273809523809,20.625,11.541519314366722,15.0
L5,Specialist,8,27.653645833333332,28.124999999999996,9.259560009789926,17.1875
L5,Universalist,316,18.203570158718087,15.9375,6.317420505956109,1.934433251576895
